"","monitoring_location_id","activity_media_name","activity_media_subdivision_name","activity_id","activity_start_date","activity_start_time","activity_end_date","activity_end_time","activity_latitude","activity_longitude","activity_source_map_scale","activity_type","activity_depth_height_measure","activity_depth_height_unit","activity_top_depth_height_measure","activity_top_depth_height_unit","activity_bottom_depth_height_measure","activity_bottom_depth_height_unit","activity_relative_depth_name","activity_comment","characteristic_name","result_analytical_method_id","result_analytical_method_context","method_speciation","result_value","result_unit","result_qualifier","result_weight_basis","statistical_base_code","result_sample_fraction","result_value_type","result_comment","sample_collection_method_id","equipment_id","result_detection_condition","result_detection_limit_type_1","result_detection_limit_value_1","result_detection_limit_unit_1","result_detection_limit_type_2","result_detection_limit_value_2","result_detection_limit_unit_2","laboratory_accreditation_indicator","laboratory_name","laboratory_sample_id","analysis_start_date","analysis_start_time","biological_intent","subject_taxonomic_name","thermal_preservative","sample_container_type","sample_container_color","chemical_preservative","flag"
"1","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Total Nitrate/Nitrite-N",2021-05-11,"10:10:00",NA,NA,60.550888,"-151.268417",NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Total Nitrate/Nitrite-N","4500-NO3(F)","APHA",NA,0.119,"mg/L","J","Sampled",NA,"Total","Actual",NA,NA,"Water Bottle","Present Below Quantification Limit","Limit of Quantitation",0.2,"mg/L","Method Detection Level",0.1,"mg/L",NA,"SGS North America, Anchorage, Alaska","1212341015","2021-05-15","13:39:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","H2SO4","Y"
"2","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Total P",2021-05-11,"10:10:00",NA,NA,60.550888,"-151.268417",NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Total Phosphorus","4500-P-E","APHA",NA,0.0416,"mg/L","=","Sampled",NA,"Total","Actual",NA,NA,"Water Bottle",NA,"Limit of Quantitation",0.04,"mg/L","Method Detection Level",0.02,"mg/L",NA,"SGS North America, Anchorage, Alaska","1212341015","2021-05-18","19:09:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","H2SO4","N"
"3","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-As",2021-05-11,"10:11:00",NA,NA,60.550888,"-151.268417",NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Arsenic","200.8","USEPA",NA,NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",2.5,"ug/L",NA,"SGS North America, Anchorage, Alaska","1212341055","2021-05-21","09:46:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","HNO3","Y"
"4","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Cd",2021-05-11,"10:11:00",NA,NA,60.550888,"-151.268417",NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Cadmium","200.8","USEPA",NA,NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.25,"ug/L",NA,"SGS North America, Anchorage, Alaska","1212341055","2021-05-21","09:46:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","HNO3","Y"
"5","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Cr",2021-05-11,"10:11:00",NA,NA,60.550888,"-151.268417",NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Chromium","200.8","USEPA",NA,NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",2.5,"ug/L",NA,"SGS North America, Anchorage, Alaska","1212341055","2021-05-21","09:46:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","HNO3","Y"
"6","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Cu",2021-05-11,"10:11:00",NA,NA,60.550888,"-151.268417",NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Copper","200.8","USEPA",NA,NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",1,"ug/L","Method Detection Level",0.5,"ug/L",NA,"SGS North America, Anchorage, Alaska","1212341055","2021-05-21","09:46:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","HNO3","Y"
"7","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Pb",2021-05-11,"10:11:00",NA,NA,60.550888,"-151.268417",NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Lead","200.8","USEPA",NA,NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",0.2,"ug/L","Method Detection Level",0.1,"ug/L",NA,"SGS North America, Anchorage, Alaska","1212341055","2021-05-21","09:46:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","HNO3","Y"
"8","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Zn",2021-05-11,"10:11:00",NA,NA,60.550888,"-151.268417",NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Zinc","200.8","USEPA",NA,NA,"ug/L","U","Sampled",NA,"Filtered, field","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",10,"ug/L","Method Detection Level",5,"ug/L",NA,"SGS North America, Anchorage, Alaska","1212341055","2021-05-21","09:46:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","HNO3","Y"
"9","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Total Nitrate/Nitrite-N-DUP",2021-05-11,"10:18:00",NA,NA,60.550888,"-151.268417",NA,"Quality Control Field Replicate Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Total Nitrate/Nitrite-N","4500-NO3(F)","APHA",NA,0.122,"mg/L","J","Sampled",NA,"Total","Actual",NA,NA,"Water Bottle","Present Below Quantification Limit","Limit of Quantitation",0.2,"mg/L","Method Detection Level",0.1,"mg/L",NA,"SGS North America, Anchorage, Alaska","1212341016","2021-05-15","13:41:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","H2SO4","Y"
"10","KR RM 0 NNC","Water","Surface Water","KR RM 0 NNC-2021-05-11-Total P-DUP",2021-05-11,"10:18:00",NA,NA,60.550888,"-151.268417",NA,"Quality Control Field Replicate Msr/Obs",15,"cm",NA,NA,NA,NA,NA,NA,"Total Phosphorus","4500-P-E","APHA",NA,0.0394,"mg/L","J","Sampled",NA,"Total","Actual",NA,NA,"Water Bottle","Present Below Quantification Limit","Limit of Quantitation",0.04,"mg/L","Method Detection Level",0.02,"mg/L",NA,"SGS North America, Anchorage, Alaska","1212341016","2021-05-18","19:10:00",NA,NA,"Cold packs","Plastic Bottle","Opaque","H2SO4","N"
