"","organization_identifier","organization_formal_name","activity_identifier","activity_start_date","activity_start_time_time","activity_start_time_time_zone_code","monitoring_location_identifier","result_identifier","data_logger_line","result_detection_condition_text","characteristic_name","result_sample_fraction_text","result_measure_value","result_measure_measure_unit_code","result_status_identifier","result_value_type_name","result_analytical_method_method_identifier","result_analytical_method_method_identifier_context","result_analytical_method_method_name","result_analytical_method_method_qualifier_type_name","method_description_text","analysis_start_time_time","analysis_start_time_time_zone_code","result_detection_quantitation_limit_url","provider_name","project","trib_mainstem","river_mile","monitoring_location_name","monitoring_location_type_name","monitoring_location_description_text","huc_eight_digit_code","latitude_measure","longitude_measure","horizontal_collection_method_name","horizontal_coordinate_reference_system_datum_name","country_code","state_code","county_code","tributary_name","site_name","julian_day","season"
"1","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000021_2009-07-21_11:30:00","2009-07-21","11:30:00","AKDT","KENAI_WQX-10000021","STORET-56412418",NA,NA,"Copper","Dissolved",0.52,"ug/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000021_2009-07-21_11%3A30%3A00/results/56412418/resdetectqntlmts","STORET","KBL","m",21,"KBL_m_21.0","River/Stream","Soldotna_Bridge",19020302,60.476634,-151.082099,"Interpolation-Satellite","NAD83","US",2,122,NA,"21",202,"Summer"
"2","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000021_2012/07/31_11:11:00","2012-07-31","11:11:00","AKDT","KENAI_WQX-10000021","STORET-235148364",NA,NA,"Copper","Dissolved",0.941,"ug/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/","1-01-01 15:07:00","AKDT","https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000021_2012%2F07%2F31_11%3A11%3A00/results/235148364/resdetectqntlmts","STORET","KBL","m",21,"KBL_m_21.0","River/Stream","Soldotna_Bridge",19020302,60.476634,-151.082099,"Interpolation-Satellite","NAD83","US",2,122,NA,"21",213,"Summer"
"3","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000025_07/18/2000_09:06:00","2000-07-18","09:06:00","AKDT","KENAI_WQX-10000025","STORET-56950066",NA,NA,"Copper","Dissolved",9,"ug/l","Final","Actual","200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000025_07%2F18%2F2000_09%3A06%3A00/results/56950066/resdetectqntlmts","STORET","KBL","m",31,"KBL_m_31.0","River/Stream","Morgans_Landing",19020302,60.498284,-150.863121,"Interpolation-Satellite","NAD83","US",2,122,NA,"31",200,"Summer"
"4","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000025_2007-05-01_11:23:00","2007-05-01","11:23:00","AKDT","KENAI_WQX-10000025","STORET-56497088",NA,NA,"Copper","Dissolved",0.649,"ug/l","Final","Actual","200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000025_2007-05-01_11%3A23%3A00/results/56497088/resdetectqntlmts","STORET","KBL","m",31,"KBL_m_31.0","River/Stream","Morgans_Landing",19020302,60.498284,-150.863121,"Interpolation-Satellite","NAD83","US",2,122,NA,"31",121,"Spring"
"5","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000024_2009-04-28_12:48:00","2009-04-28","12:48:00","AKDT","KENAI_WQX-10000024","STORET-56660595",NA,NA,"Copper","Dissolved",1.55,"ug/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000024_2009-04-28_12%3A48%3A00/results/56660595/resdetectqntlmts","STORET","KBL","t",30,"KBL_t_30.0","River/Stream","Funny_River",19020302,60.489963,-150.860982,"Interpolation-Satellite","NAD83","US",2,122,"Funny River","Funny River",118,"Spring"
"6","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000027_2009-07-21_13:21:00","2009-07-21","13:21:00","AKDT","KENAI_WQX-10000027","STORET-56412510",NA,NA,"Copper","Dissolved",0.576,"ug/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000027_2009-07-21_13%3A21%3A00/results/56412510/resdetectqntlmts","STORET","KBL","m",40,"KBL_m_40.0","River/Stream","Bings_Landing",19020302,60.515441,-150.702069,"Interpolation-Satellite","NAD83","US",2,122,NA,"40",202,"Summer"
"7","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000030_2012/07/31_09:28:00","2012-07-31","09:28:00","AKDT","KENAI_WQX-10000030","STORET-235148736",NA,NA,"Copper","Dissolved",0.397,"ug/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/","1-01-01 04:20:00","AKDT","https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000030_2012%2F07%2F31_09%3A28%3A00/results/235148736/resdetectqntlmts","STORET","KBL","m",50,"KBL_m_50.0","River/Stream","Skilak_Lake_Outlet",19020302,60.467517,-150.507789,"Interpolation-Satellite","NAD83","US",2,122,NA,"50",213,"Summer"
"8","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000030_2010-07-27_9:06:00","2010-07-27","09:06:00","AKDT","KENAI_WQX-10000030","STORET-67840726",NA,NA,"Copper","Dissolved",0.332,"ug/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000030_2010-07-27_9%3A06%3A00/results/67840726/resdetectqntlmts","STORET","KBL","m",50,"KBL_m_50.0","River/Stream","Skilak_Lake_Outlet",19020302,60.467517,-150.507789,"Interpolation-Satellite","NAD83","US",2,122,NA,"50",208,"Summer"
"9","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000030_2011-04-26_08:20:00","2011-04-26","08:20:00","AKDT","KENAI_WQX-10000030","STORET-135488854",NA,NA,"Copper","Dissolved",0.534,"ug/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000030_2011-04-26_08%3A20%3A00/results/135488854/resdetectqntlmts","STORET","KBL","m",50,"KBL_m_50.0","River/Stream","Skilak_Lake_Outlet",19020302,60.467517,-150.507789,"Interpolation-Satellite","NAD83","US",2,122,NA,"50",116,"Spring"
"10","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000023_04/22/2008_12:08:00","2008-04-22","12:08:00","AKST","KENAI_WQX-10000023","STORET-56455397",NA,NA,"Copper","Dissolved",0.757,"ug/l","Final","Actual","200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000023_04%2F22%2F2008_12%3A08%3A00/results/56455397/resdetectqntlmts","STORET","KBL","m",23,"KBL_m_23.0","River/Stream","Swiftwater_Park",19020302,60.480338,-151.030847,"Interpolation-Satellite","NAD83","US",2,122,NA,"23",113,"Spring"
