"","organization_identifier","organization_formal_name","activity_identifier","activity_start_date","activity_start_time_time","activity_start_time_time_zone_code","monitoring_location_identifier","result_identifier","data_logger_line","result_detection_condition_text","characteristic_name","result_sample_fraction_text","result_measure_value","result_measure_measure_unit_code","result_status_identifier","result_value_type_name","result_analytical_method_method_identifier","result_analytical_method_method_identifier_context","result_analytical_method_method_name","result_analytical_method_method_qualifier_type_name","method_description_text","analysis_start_time_time","analysis_start_time_time_zone_code","result_detection_quantitation_limit_url","provider_name","project","trib_mainstem","river_mile","monitoring_location_name","monitoring_location_type_name","monitoring_location_description_text","huc_eight_digit_code","latitude_measure","longitude_measure","horizontal_collection_method_name","horizontal_coordinate_reference_system_datum_name","country_code","state_code","county_code","tributary_name","site_name","julian_day","season"
"1","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000023_07/26/2005_10:50:00","2005-07-26","10:50:00","AKDT","KENAI_WQX-10000023","STORET-56498389",NA,NA,"Temperature, water",NA,13.6,"deg C","Final","Actual","2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000023_07%2F26%2F2005_10%3A50%3A00/results/56498389/resdetectqntlmts","STORET","KBL","m",23,"KBL_m_23.0","River/Stream","Swiftwater_Park",19020302,60.480338,-151.030847,"Interpolation-Satellite","NAD83","US",2,122,NA,"23",207,"Summer"
"2","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000021_2011-04-26_10:10:00","2011-04-26","10:10:00","AKDT","KENAI_WQX-10000021","STORET-135488640",NA,NA,"Temperature, water",NA,4.1,"deg C","Final","Actual","2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000021_2011-04-26_10%3A10%3A00/results/135488640/resdetectqntlmts","STORET","KBL","m",21,"KBL_m_21.0","River/Stream","Soldotna_Bridge",19020302,60.476634,-151.082099,"Interpolation-Satellite","NAD83","US",2,122,NA,"21",116,"Spring"
"3","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000025_07/17/2007_10:35:00","2007-07-17","10:35:00","AKDT","KENAI_WQX-10000025","STORET-56488003",NA,NA,"Temperature, water",NA,9.9,"deg C","Final","Actual","2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000025_07%2F17%2F2007_10%3A35%3A00/results/56488003/resdetectqntlmts","STORET","KBL","m",31,"KBL_m_31.0","River/Stream","Morgans_Landing",19020302,60.498284,-150.863121,"Interpolation-Satellite","NAD83","US",2,122,NA,"31",198,"Summer"
"4","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000025_2011-04-26_11:25:00","2011-04-26","11:25:00","AKDT","KENAI_WQX-10000025","STORET-135488749",NA,NA,"Temperature, water",NA,4.1,"deg C","Final","Actual","2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000025_2011-04-26_11%3A25%3A00/results/135488749/resdetectqntlmts","STORET","KBL","m",31,"KBL_m_31.0","River/Stream","Morgans_Landing",19020302,60.498284,-150.863121,"Interpolation-Satellite","NAD83","US",2,122,NA,"31",116,"Spring"
"5","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000025_2001-07-24_10:00:00","2001-07-24","10:00:00","AKDT","KENAI_WQX-10000025","STORET-56524030",NA,NA,"Temperature, water",NA,11.69,"deg C","Final","Actual","2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000025_2001-07-24_10%3A00%3A00/results/56524030/resdetectqntlmts","STORET","KBL","m",31,"KBL_m_31.0","River/Stream","Morgans_Landing",19020302,60.498284,-150.863121,"Interpolation-Satellite","NAD83","US",2,122,NA,"31",205,"Summer"
"6","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000026_2006-04-25_09:45:00","2006-04-25","09:45:00","AKDT","KENAI_WQX-10000026","STORET-56498195",NA,NA,"Temperature, water",NA,1.1,"deg C","Final","Actual","2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000026_2006-04-25_09%3A45%3A00/results/56498195/resdetectqntlmts","STORET","KBL","t",36,"KBL_t_36.0","River/Stream","Moose_River",19020302,60.53687,-150.754724,"Interpolation-Satellite","NAD83","US",2,122,"Moose River","Moose River",115,"Spring"
"7","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000026_07/29/2008_11:45:00","2008-07-29","11:45:00","AKST","KENAI_WQX-10000026","STORET-56454984",NA,NA,"Temperature, water",NA,11.8,"deg C","Final","Actual","2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000026_07%2F29%2F2008_11%3A45%3A00/results/56454984/resdetectqntlmts","STORET","KBL","t",36,"KBL_t_36.0","River/Stream","Moose_River",19020302,60.53687,-150.754724,"Interpolation-Satellite","NAD83","US",2,122,"Moose River","Moose River",211,"Summer"
"8","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000425_2010-07-27_7:55:00","2010-07-27","07:55:00","AKDT","KENAI_WQX-10000425","STORET-67840814",NA,NA,"Temperature, water",NA,9.1,"deg C","Final","Actual","2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000425_2010-07-27_7%3A55%3A00/results/67840814/resdetectqntlmts","STORET","KBL","m",82,"KBL_m_82.0","River/Stream","Kenai_Lake_Bridge",19020302,60.492,-149.81087,"Interpolation-Satellite","NAD83","US",2,122,NA,"82",208,"Summer"
"9","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000022_07/20/2004_11:51:00","2004-07-20","11:51:00","AKDT","KENAI_WQX-10000022","STORET-56514890",NA,NA,"Temperature, water",NA,15.7,"deg C","Final","Actual","2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000022_07%2F20%2F2004_11%3A51%3A00/results/56514890/resdetectqntlmts","STORET","KBL","t",22,"KBL_t_22.0","River/Stream","Soldotna_Creek",19020302,60.483364,-151.057656,"Interpolation-Satellite","NAD83","US",2,122,"Soldotna Creek","Soldotna Creek",202,"Summer"
"10","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000030_07/26/2005_08:26:00","2005-07-26","08:26:00","AKDT","KENAI_WQX-10000030","STORET-56498504",NA,NA,"Temperature, water",NA,13.8,"deg C","Final","Actual","2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000030_07%2F26%2F2005_08%3A26%3A00/results/56498504/resdetectqntlmts","STORET","KBL","m",50,"KBL_m_50.0","River/Stream","Skilak_Lake_Outlet",19020302,60.467517,-150.507789,"Interpolation-Satellite","NAD83","US",2,122,NA,"50",207,"Summer"
